Gaia20bgv,14:40:34.992,-62:24:10.44
Gaia20bhj,18:06:59.112,-45:01:30
Gaia20bib,17:56:23.328,-37:50:07.44
Gaia20bic,18:07:44.688,-35:26:02.4
Gaia20biu,17:40:27.696,-34:58:32.52
Gaia20biy,17:31:00.528,-30:11:49.2
Gaia20biz,18:42:49.944,-16:24:02.16
Gaia20bja,18:10:59.856,-26:00:05.4
Gaia20bjg,17:10:56.16,-41:39:36.72
Gaia20bjj,18:05:56.976,-28:09:39.24
Gaia20bjn,17:33:29.88,-28:19:54.84
Gaia20bjo,16:43:27.216,-37:37:36.84
Gaia20bjp,17:23:36.792,-32:32:53.16
Gaia20bka,17:36:45.936,-28:40:40.8
Gaia20bkd,17:30:15.312,-30:01:17.04
Gaia20bkt,17:16:13.248,-18:06:09.36
Gaia20blm,18:47:36.36,+17:08:11.76
Gaia20blu,17:10:55.44,-16:24:36.36
Gaia20bof,12:18:28.368,-63:29:50.28
Gaia20bor,02:13:25.824,+62:32:22.92
Gaia20bpk,14:50:06.576,-65:49:46.56
Gaia20brh,16:40:25.68,-54:39:58.32
Gaia20brz,17:09:44.64,-33:22:14.52
Gaia20bso,17:34:07.152,-36:31:18.84
Gaia20btb,17:40:37.272,-33:14:32.64
Gaia20btc,17:52:09.12,-33:21:19.8
Gaia20btf,17:28:52.728,-29:53:07.44
Gaia20btg,17:52:05.424,-36:51:20.88
Gaia20bth,17:30:28.464,-27:20:31.2
Gaia20bti,17:55:13.368,-34:35:15
Gaia20btq,17:39:50.952,-25:37:51.6
Gaia20btr,17:34:49.248,-23:32:23.28
Gaia20btx,17:33:21.6,-29:52:21.72
Gaia20bua,17:55:02.448,-22:05:49.92
Gaia20buc,18:00:29.472,-26:46:05.88
Gaia20bud,17:32:31.296,-19:42:35.28
Gaia20bvc,18:27:54.576,-16:50:05.64
Gaia20cfp,11:35:16.488,-55:02:29.4
Gaia20ckk,12:57:48.768,-60:27:53.64
Gaia20ckx,13:14:11.064,-64:58:55.92
Gaia20cnv,19:47:32.208,+23:30:38.88
Gaia20cnw,19:42:26.4,+20:32:37.68
Gaia20crp,19:06:37.296,+15:18:56.88
Gaia20dgg,16:18:10.656,-54:57:20.16
Gaia20diu,16:27:42.96,-46:06:42.12
Gaia20dog,14:54:18.144,-55:57:31.32
Gaia20drf,17:05:08.232,-44:31:13.44
Gaia20dsa,17:18:44.88,-38:36:20.16
Gaia20dsl,17:15:36.408,-34:23:16.8
Gaia20dtg,17:45:32.208,-35:22:03.72
Gaia20dtu,17:36:39.816,-29:25:09.84
Gaia20dtv,17:30:40.056,-27:48:47.52
Gaia20dtw,17:45:11.04,-25:24:28.8
Gaia20duh,17:46:43.32,-26:01:33.24
Gaia20dun,18:04:20.232,-26:31:05.52
Gaia20dum,18:18:07.8,-33:20:15.72
Gaia20dup,18:05:55.08,-30:20:12.84
Gaia20dvb,18:16:36.792,-29:48:10.08
Gaia20dvc,17:39:57.384,-16:26:08.52
Gaia20dve,18:09:33.792,-30:41:04.2
Gaia20dvf,18:02:50.544,-27:08:36.96
Gaia20dvl,18:24:02.016,-30:01:10.92
Gaia20dvn,18:00:27.048,-19:46:57.72
Gaia20dwb,18:23:09.216,-25:09:47.16
Gaia20dwf,18:26:29.4,-20:04:51.96
Gaia20dwp,18:27:40.608,-18:02:28.68
Gaia20dxd,18:46:52.848,-21:30:46.08
Gaia20dxg,18:40:49.824,-10:17:08.16
Gaia20ebu,21:38:18.552,+48:28:45.12
Gaia20ebq,12:30:10.872,-67:39:50.04
Gaia20ecw,18:09:31.416,-35:52:15.6
Gaia20ecy,17:53:43.8,-32:35:21.84
Gaia20ecz,17:58:36.528,-28:11:08.16
Gaia20edf,17:51:59.664,-30:28:39.72
Gaia20edm,17:46:55.272,-26:56:32.28
Gaia20edn,17:44:19.728,-27:29:17.52
Gaia20edz,19:05:14.136,-06:40:07.68
Gaia20eei,18:37:18.744,-10:47:12.48
Gaia20eha,20:06:11.952,+35:37:54.12
Gaia20ekw,10:50:04.104,-65:22:59.16
Gaia20enh,16:23:22.704,-55:33:13.32
Gaia20eoc,16:48:19.32,-51:03:39.6
Gaia20eoj,16:32:16.296,-35:44:10.32
Gaia20eom,17:46:38.256,-52:50:29.04
Gaia20epj,17:27:30.264,-39:35:27.6
Gaia20epl,17:16:46.008,-40:25:03
Gaia20epr,17:51:23.976,-40:10:33.24
Gaia20eqk,17:51:24.384,-36:49:26.4
Gaia20eqj,17:35:05.904,-28:03:28.8
Gaia20eqp,17:52:15.504,-29:37:55.92
Gaia20eqr,17:53:51.072,-29:28:50.88
Gaia20eqs,17:55:32.616,-29:05:42.72
Gaia20equ,18:00:30.456,-30:14:26.52
Gaia20eqx,18:00:23.544,-28:22:26.4
Gaia20erh,05:29:48.648,+15:25:42.24
Gaia20eri,17:44:46.248,-25:49:53.76
Gaia20err,17:55:58.68,-18:11:08.88
Gaia20erx,18:10:16.2,-23:21:41.04
Gaia20esu,18:33:54.984,-09:04:08.76
Gaia20euq,19:39:16.272,-05:03:19.44
Gaia20fhv,19:48:11.88,+14:00:55.44
Gaia20fig,19:27:45.072,-00:20:10.68
Gaia20fit,19:03:53.64,-18:06:05.04
Gaia20fje,19:09:17.208,+14:58:09.84
Gaia20fji,19:09:47.448,-05:28:21.36
Gaia20fju,19:00:21.12,+00:34:31.08
Gaia20fnr,06:01:04.08,-18:58:03.72
Gaia20fpt,19:08:21.24,+14:52:26.04
Gaia20fsn,19:27:38.88,+26:48:10.44
Gaia20fxg,14:41:27.768,-46:25:05.16
Gaia21aip,11:03:54.024,-54:08:00.24
Gaia21ajp,21:18:38.184,+59:06:46.08
Gaia21anm,20:10:08.832,+36:56:31.92
Gaia21asq,19:33:21.984,+20:26:20.4
Gaia21atr,19:11:20.592,+13:43:02.64
Gaia21ats,19:42:32.976,+19:34:57.36
Gaia21auk,18:05:07.272,-07:36:36
Gaia21auw,17:29:18.216,-21:52:31.08
Gaia21awi,17:40:29.832,-26:37:09.12
Gaia21awe,16:19:47.808,-45:58:36.48
Gaia21awj,18:22:39.336,-12:14:07.08
Gaia21aws,14:32:38.232,-55:33:39.96
Gaia21axa,18:00:43.488,-25:46:53.04
Gaia21axj,18:17:52.656,-20:29:29.76
Gaia21axk,18:36:01.608,-12:02:54.6
Gaia21axl,17:35:15.864,-35:45:26.28
Gaia21axo,09:47:48.648,-49:23:31.2
Gaia21axp,14:07:38.856,-64:38:25.8
Gaia21axq,18:24:53.4,-21:34:04.44
Gaia21axr,17:54:34.872,-36:12:29.52
Gaia21ayd,18:25:09.288,-19:29:58.92
Gaia21ayh,18:46:29.952,-13:03:51.84
Gaia21ayo,18:22:37.56,-19:33:12.24
Gaia21ayq,18:42:23.328,-13:23:21.48
Gaia21ayr,17:23:22.176,-41:36:48.6
Gaia21azb,19:22:33.36,+06:31:08.04
Gaia21azc,18:07:29.304,-34:25:48
Gaia21azd,19:07:31.8,-05:19:49.44
Gaia21azl,17:09:07.704,-48:56:11.76
Gaia21azo,18:55:30.36,-10:50:58.56
Gaia21azr,18:20:41.568,-27:21:40.68
Gaia21bad,18:31:30.408,-24:03:47.16
Gaia21bbi,19:31:02.616,+19:14:33
Gaia21bde,19:05:12.744,+14:51:36
Gaia21bfr,18:46:08.304,-10:12:26.28
Gaia21bgn,18:42:46.872,-19:59:11.4
Gaia21bhp,18:15:32.568,-30:35:16.8
Gaia21bia,17:52:58.224,-29:00:04.32
Gaia21bik,18:00:52.872,-36:04:11.64
Gaia21blg,15:21:54.504,-54:46:53.76
Gaia21blx,14:53:15.432,-62:01:30.72
Gaia21blv,14:59:30.072,-52:58:57.72
Gaia21bol,11:26:21.696,-69:21:30.6
Gaia21bon,11:29:25.488,-67:09:33.12
Gaia21bop,12:58:01.512,-57:29:42
Gaia21bqa,11:28:38.352,-56:36:36
Gaia21brx,05:11:03.576,+24:25:43.68
Gaia21bsg,17:31:01.488,-21:24:04.32
Gaia21bss,17:54:50.904,-21:26:06.36
Gaia21bst,17:25:03.84,-28:45:08.28
Gaia21bsu,17:44:13.392,-22:07:05.52
Gaia21bsv,17:57:49.992,-21:21:07.92
Gaia21bta,17:46:04.224,-23:49:49.08
Gaia21btu,18:12:10.848,-21:18:12.6
Gaia21bub,15:34:00.576,-49:24:49.32
Gaia21bvg,18:31:24.144,-34:12:05.04
Gaia21bwr,15:32:45.6,-62:05:47.04
Gaia21bzr,23:53:03,+67:13:55.2
Gaia21ccu,09:31:50.904,-55:17:57.12
Gaia21cgy,19:58:16.032,+20:45:35.64
Gaia21chq,19:07:51.984,+18:37:21
Gaia21cjc,19:16:38.736,+05:19:17.4
Gaia21cki,19:15:51.648,-07:12:41.76
Gaia21ckj,18:53:23.016,-01:14:06.36
Gaia21cnn,19:06:34.296,-10:00:33.12
Gaia21ctk,11:28:45.744,-58:24:49.32
Gaia21ctx,12:11:52.2,-62:23:27.24
Gaia21cuj,12:52:46.608,-63:56:47.04
Gaia21cuk,13:28:24.072,-66:22:32.52
Gaia21cvu,20:38:51.984,+03:43:37.2
