Name  RA   Dec  t0[HJD]  tE[days]    u0    Ibase    Ibase_err
KMT-2016-BLG-0086 17:51:56.40 -29:05:21.41 247602.81270 49.01 0.675 19.78 None
KMT-2016-BLG-0087 17:51:28.51 -28:51:32.08 247491.17036 26.76 0.321 19.97 None
KMT-2016-BLG-0088 17:51:29.76 -28:54:21.82 247488.05842 13.03 0.135 19.74 None
KMT-2016-BLG-0089 17:58:39.88 -28:31:47.60 247530.29191 139.71 0.004 17.64 None
KMT-2016-BLG-0090 17:56:37.09 -29:01:12.11 247543.44098 37.62 0.015 20.00 None
KMT-2016-BLG-0091 17:56:44.62 -28:51:54.50 247495.35636 4.87 0.789 15.53 None
KMT-2016-BLG-0092 17:56:49.39 -28:48:44.89 247544.70867 26.42 0.061 18.93 None
KMT-2016-BLG-0093 17:56:42.23 -28:41:38.00 247561.06982 22.86 0.567 19.71 None
KMT-2016-BLG-0094 17:56:12.23 -29:00:17.78 247555.40564 18.49 0.465 19.91 None
KMT-2016-BLG-0095 17:56:29.28 -28:58:43.61 247517.54056 21.13 0.071 20.00 None
KMT-2016-BLG-0096 17:56:20.38 -28:42:39.60 247561.40733 4.65 0.405 18.70 None
KMT-2016-BLG-0097 17:55:56.66 -28:53:00.46 247572.20206 24.99 0.106 19.03 None
KMT-2016-BLG-0098 17:55:34.79 -28:57:57.24 247576.07447 19.64 0.268 18.92 None
KMT-2016-BLG-0099 17:55:43.20 -28:50:09.31 247564.68408 38.38 0.201 16.43 None
KMT-2016-BLG-0100 17:55:35.20 -28:19:05.63 247511.25353 22.76 0.216 20.00 None
KMT-2016-BLG-0101 17:54:52.57 -28:57:16.09 247490.51001 39.04 0.783 18.91 None
KMT-2016-BLG-0102 17:55:03.17 -28:32:36.28 247503.42064 10.28 0.160 19.03 None
KMT-2016-BLG-0103 17:54:59.98 -28:16:23.56 247488.51888 6.30 0.586 20.00 None
KMT-2016-BLG-0104 17:54:23.72 -29:05:20.11 247460.02377 23.50 0.849 16.34 None
KMT-2016-BLG-0105 17:54:20.41 -29:00:21.38 247539.37705 5.60 0.610 19.59 None
KMT-2016-BLG-0106 17:54:17.90 -28:55:15.74 247488.70668 21.41 0.236 17.77 None
KMT-2016-BLG-0107 17:54:27.48 -28:46:28.96 247549.86973 15.40 0.486 17.88 None
KMT-2016-BLG-0108 17:52:26.75 -29:13:31.91 247488.75752 14.56 1.000 15.59 None
KMT-2016-BLG-0109 17:52:17.99 -29:16:38.32 247516.96436 47.39 0.062 19.85 None
KMT-2016-BLG-0110 18:00:14.13 -27:58:25.50 247530.06283 41.94 0.917 17.50 None
KMT-2016-BLG-0111 17:59:18.87 -27:59:41.10 247562.07584 23.14 0.265 15.21 None
KMT-2016-BLG-0112 17:59:40.70 -27:26:17.99 247648.41245 20.29 0.921 19.01 None
KMT-2016-BLG-0113 17:58:52.32 -27:36:48.82 247581.59823 199.96 0.003 18.46 None
KMT-2016-BLG-0114 17:58:59.02 -27:23:59.89 247513.77397 102.08 0.045 15.21 None
KMT-2016-BLG-0115 17:58:15.57 -27:57:48.82 247556.80635 14.78 0.297 17.27 None
KMT-2016-BLG-0116 17:58:21.19 -27:32:11.51 247503.36720 12.09 0.800 16.72 None
KMT-2016-BLG-0117 17:58:34.72 -27:36:54.00 247506.37978 18.38 0.032 19.25 None
KMT-2016-BLG-0118 17:58:15.74 -27:32:18.10 247582.18198 15.32 0.475 20.00 None
KMT-2016-BLG-0119 17:57:57.69 -27:53:52.76 247521.64495 6.88 0.999 16.76 None
KMT-2016-BLG-0120 17:58:00.72 -27:32:50.10 247517.23538 5.17 0.480 20.00 None
KMT-2016-BLG-0121 17:57:09.43 -27:57:18.36 247495.46910 9.79 0.999 18.50 None
KMT-2016-BLG-0122 18:05:59.05 -27:28:23.59 247577.21678 40.12 0.099 18.47 None
KMT-2016-BLG-0123 18:05:30.83 -27:39:47.20 247577.67039 14.14 0.107 20.00 None
KMT-2016-BLG-0124 18:05:01.18 -27:45:45.90 247525.59970 40.70 0.016 17.86 None
KMT-2016-BLG-0125 18:05:03.03 -27:04:29.32 247498.97959 22.45 0.389 19.29 None
KMT-2016-BLG-0126 18:04:35.33 -27:53:22.49 247568.74666 4.97 0.710 18.65 None
KMT-2016-BLG-0127 18:04:19.76 -27:02:14.71 247431.29259 106.22 0.002 15.48 None
KMT-2016-BLG-0128 18:03:43.59 -27:51:35.10 247567.25091 15.77 0.004 19.41 None
KMT-2016-BLG-0129 18:03:08.11 -27:52:15.49 247534.76136 9.07 0.408 19.01 None
KMT-2016-BLG-0130 18:03:20.90 -27:38:31.60 247513.16165 4.03 0.454 19.78 None
KMT-2016-BLG-0131 18:02:43.57 -27:47:30.91 247511.14055 12.09 0.813 18.49 None
KMT-2016-BLG-0132 18:02:42.54 -27:44:21.08 247537.28035 10.31 0.660 19.51 None
KMT-2016-BLG-0133 18:05:33.79 -28:32:34.12 247562.67121 4.35 0.156 19.56 None
KMT-2016-BLG-0134 18:04:57.02 -28:37:40.12 247552.22232 7.03 0.672 14.46 None
KMT-2016-BLG-0135 18:04:59.57 -28:39:29.70 247454.16736 60.13 0.154 17.76 None
KMT-2016-BLG-0136 18:05:04.64 -28:20:59.71 247543.18636 6.79 0.143 20.00 None
KMT-2016-BLG-0137 18:04:20.22 -28:30:34.49 247530.00578 75.20 0.040 19.06 None
KMT-2016-BLG-0138 18:04:09.39 -28:10:36.91 247505.17787 9.67 0.054 18.82 None
KMT-2016-BLG-0139 18:04:06.84 -28:35:54.82 247567.79540 13.18 0.603 18.68 None
KMT-2016-BLG-0140 18:03:54.31 -28:29:34.91 247546.00527 9.56 0.354 16.81 None
KMT-2016-BLG-0141 18:03:51.42 -28:18:43.31 247537.81679 24.45 0.180 17.30 None
KMT-2016-BLG-0142 18:03:50.73 -28:07:50.30 247536.25950 7.43 0.148 18.77 None
KMT-2016-BLG-0143 18:04:00.26 -28:09:18.61 247512.60440 4.27 0.136 18.77 None
KMT-2016-BLG-0144 18:03:27.80 -28:22:23.48 247573.37777 2.15 0.520 17.81 None
KMT-2016-BLG-0145 18:03:21.02 -28:17:14.50 247563.12745 38.31 0.227 19.71 None
KMT-2016-BLG-0146 18:03:02.80 -28:08:50.21 247477.43158 21.76 0.280 19.22 None
KMT-2016-BLG-0147 18:00:59.78 -28:47:11.80 247516.06399 20.55 0.113 20.00 None
KMT-2016-BLG-0148 18:00:33.06 -28:31:07.21 247504.31970 3.86 0.326 19.98 None
KMT-2016-BLG-0149 17:59:54.32 -28:41:07.80 247542.15814 7.04 0.097 18.87 None
KMT-2016-BLG-0150 17:59:26.11 -28:54:15.01 247558.01612 45.50 0.084 18.95 None
KMT-2016-BLG-0151 17:59:32.79 -28:24:26.50 247511.33379 2.87 0.171 19.43 None
KMT-2016-BLG-0152 17:59:00.42 -28:55:40.19 247469.95838 32.30 1.000 15.93 None
KMT-2016-BLG-0153 17:59:06.50 -28:44:03.80 247515.41120 14.48 0.897 17.28 None
KMT-2016-BLG-0154 17:58:33.20 -28:37:03.90 247510.67770 7.98 0.110 19.77 None
KMT-2016-BLG-0155 17:58:28.32 -28:16:29.10 247566.91940 7.85 0.100 18.27 None
KMT-2016-BLG-0156 17:57:50.66 -28:58:21.68 247490.80718 34.85 0.069 19.31 None
KMT-2016-BLG-0157 17:57:45.40 -28:20:07.40 247487.75734 15.34 0.102 17.93 None
KMT-2016-BLG-0158 17:57:50.90 -28:19:52.10 247493.81003 183.05 0.009 20.00 None
KMT-2016-BLG-0159 17:57:14.69 -28:52:51.38 247494.14279 14.18 0.587 18.49 None
KMT-2016-BLG-0160 17:57:14.00 -28:28:50.70 247502.27423 26.06 0.604 15.41 None
KMT-2016-BLG-0161 17:57:03.78 -28:16:02.78 247510.05455 37.81 0.353 17.26 None
KMT-2016-BLG-0162 17:57:20.53 -28:18:34.09 247504.20312 7.25 0.032 19.14 None
KMT-2016-BLG-0163 17:54:13.85 -28:57:10.58 247502.51284 20.45 0.972 17.82 None
KMT-2016-BLG-0164 17:53:57.71 -28:34:21.86 247467.51590 120.16 0.849 19.35 None
KMT-2016-BLG-0165 17:52:11.12 -28:54:19.94 247604.71231 43.50 0.288 19.04 None
KMT-2016-BLG-0166 17:58:56.15 -28:43:23.09 247596.16224 76.03 0.477 19.09 None
KMT-2016-BLG-0167 17:58:55.25 -28:15:12.60 247436.45499 36.98 0.305 17.48 None
KMT-2016-BLG-0168 17:58:32.80 -28:51:23.80 247624.67043 67.09 0.292 18.77 None
KMT-2016-BLG-0169 17:58:07.77 -28:11:57.30 247481.15133 29.25 0.343 19.62 None
KMT-2016-BLG-0170 17:57:14.08 -28:56:59.50 247640.26293 22.90 0.382 17.72 None
KMT-2016-BLG-0171 17:57:15.23 -28:06:23.62 247587.31557 86.97 0.671 18.68 None
KMT-2016-BLG-0172 17:56:25.45 -28:50:48.01 247570.17571 24.39 0.791 19.31 None
KMT-2016-BLG-0173 17:56:39.11 -28:45:33.91 247547.89783 4.74 0.777 20.00 None
KMT-2016-BLG-0174 17:56:48.58 -28:39:19.01 247569.76129 2.20 0.087 19.34 None
KMT-2016-BLG-0175 17:56:02.68 -28:16:09.34 247496.72049 13.40 0.174 20.00 None
KMT-2016-BLG-0176 17:55:11.28 -28:21:30.06 247520.11330 16.46 0.024 18.02 None
KMT-2016-BLG-0177 17:54:58.79 -28:56:34.80 247556.04002 16.28 0.899 17.40 None
KMT-2016-BLG-0178 17:54:32.40 -28:33:44.93 247480.08551 8.93 0.928 18.68 None
KMT-2016-BLG-0179 17:54:47.40 -28:29:36.46 247488.55039 25.88 0.074 19.02 None
KMT-2016-BLG-0180 17:54:50.52 -28:19:07.39 247527.75826 11.14 0.458 19.52 None
KMT-2016-BLG-0181 17:55:27.66 -29:07:26.44 247504.20738 1.78 0.491 15.66 None
KMT-2016-BLG-0182 17:55:03.00 -29:09:16.20 247676.80949 51.53 0.795 16.87 None
KMT-2016-BLG-0183 17:52:45.04 -29:05:42.61 247568.52474 20.92 0.011 19.17 None
KMT-2016-BLG-0184 17:59:52.75 -27:31:58.40 247444.62041 40.91 0.462 18.62 None
KMT-2016-BLG-0185 17:59:46.65 -27:31:14.81 247577.67826 6.84 0.391 20.00 None
