Name  RA   Dec  t0[HJD]  tE[days]    u0    Ibase    Ibase_err
OGLE-1999-BUL-46 18:07:21.01 -27:40:04.0 2451538.597 54.082 0.038 16.604 None
OGLE-2000-BUL-01 17:48:28.86 -35:18:35.3 2451585.643 13.980 0.196 18.477 None
OGLE-2000-BUL-02 17:50:13.30 -29:49:57.6 2451566.234 83.321 0.511 15.075 None
OGLE-2000-BUL-03 17:35:16.42 -27:18:40.5 2451581.868 62.973 0.54 17.563 None
OGLE-2000-BUL-04 17:50:51.07 -30:10:22.2 2451581.467 28.123 0.734 14.990 None
OGLE-2000-SCO-01 17:03:05.58 -44:21:23.8 2451491.653 88.623 0.0 16.890 None
OGLE-2000-BUL-05 18:05:45.79 -28:30:52.4 2451552.902 57.926 0.362 15.215 None
OGLE-2000-BUL-06 17:56:26.85 -30:54:27.4 2451620.938 22.756 0.031 17.195 None
OGLE-2000-BUL-07 17:54:25.13 -29:37:49.4 2451615.292 25.366 0.532 16.762 None
OGLE-2000-LMC-01 5:12:44.91 -69:41:28.1 2451603.828 45.246 0.243 20.503 None
OGLE-2000-BUL-08 17:48:09.57 -23:14:00.2 2451625.050 49.099 0.69 15.706 None
OGLE-2000-SCO-02 16:41:02.61 -44:36:02.5 2451702.030 16.356 0.215 18.745 None
OGLE-2000-BUL-09 18:00:00.22 -28:38:18.3 2451614.779 16.568 0.479 17.864 None
OGLE-2000-BUL-10 17:58:14.20 -28:48:22.3 2451580.552 54.537 0.532 15.918 None
OGLE-2000-BUL-11 17:35:37.97 -27:37:14.6 2451616.062 8.413 0.265 17.741 None
OGLE-2000-BUL-12 17:35:13.40 -27:35:18.7 2451635.963 25.569 0.02 18.875 None
OGLE-2000-BUL-13 17:52:32.30 -29:58:46.8 2451654.364 47.379 0.835 15.344 None
OGLE-2000-BUL-14 17:53:08.92 -29:59:02.6 2451630.075 27.855 0.759 16.972 None
OGLE-2000-BUL-15 17:51:11.19 -33:00:57.0 2451630.712 5.457 0.417 15.202 None
OGLE-2000-BUL-16 17:52:46.03 -32:30:23.8 2451632.039 23.310 0.135 18.437 None
OGLE-2000-BUL-17 17:50:27.62 -30:09:29.9 2451648.932 22.905 0.187 16.666 None
OGLE-2000-BUL-18 17:53:15.27 -32:55:35.0 2451634.760 3.857 0.55 18.999 None
OGLE-2000-BUL-19 17:52:16.43 -33:33:58.9 2451652.438 42.129 0.36 18.802 None
OGLE-2000-BUL-20 18:01:24.97 -28:50:41.4 2451647.327 25.860 0.315 17.967 None
OGLE-2000-BUL-21 18:04:26.00 -28:26:31.4 2451655.508 20.955 0.234 19.160 None
OGLE-2000-BUL-22 18:07:41.84 -27:28:25.7 2451668.036 107.32 0.229 19.915 None
OGLE-2000-BUL-23 17:53:33.27 -32:33:29.1 2451665.599 8.626 0.32 18.919 None
OGLE-2000-BUL-24 17:48:49.20 -35:25:28.5 2451683.554 22.708 0.801 14.203 None
OGLE-2000-BUL-25 17:52:58.69 -29:34:22.2 2451685.691 13.399 0.3 16.449 None
OGLE-2000-BUL-26 17:53:47.38 -30:05:26.2 2451705.657 33.731 0.627 14.045 None
OGLE-2000-BUL-27 17:54:26.55 -29:51:05.7 2451681.489 14.472 0.262 18.557 None
OGLE-2000-BUL-28 17:58:13.12 -29:09:14.3 2451678.314 8.541 0.0 16.977 None
OGLE-2000-BUL-29 17:52:44.65 -29:39:57.0 2451698.297 19.739 0.27 17.067 None
OGLE-2000-BUL-30 18:01:30.89 -28:59:26.7 2451780.789 65.706 0.611 15.572 None
OGLE-2000-BUL-31 18:16:33.27 -24:14:22.7 2451743.240 28.227 0.131 15.498 None
OGLE-2000-BUL-32 17:46:37.46 -23:08:57.8 2451725.975 55.005 0.887 16.490 None
OGLE-2000-BUL-33 18:11:28.29 -26:15:05.8 2451730.172 36.774 0.143 16.991 None
OGLE-2000-BUL-34 17:35:36.03 -27:23:18.1 2451710.771 15.495 0.284 17.762 None
OGLE-2000-BUL-35 17:52:24.55 -33:30:04.3 2451702.910 8.907 0.013 18.469 None
OGLE-2000-BUL-36 17:59:08.14 -28:32:57.0 2451712.371 23.629 0.881 16.067 None
OGLE-2000-BUL-37 17:47:00.44 -23:09:48.7 2451714.101 13.317 0.591 17.633 None
OGLE-2000-BUL-38 17:53:19.20 -29:57:33.9 2451716.200 None None 17.870 None
OGLE-2000-BUL-39 17:56:43.74 -30:22:23.7 2451719.628 13.365 0.762 17.099 None
OGLE-2000-BUL-40 18:11:12.40 -26:24:10.3 2451785.386 57.705 0.533 16.542 None
OGLE-2000-BUL-41 17:54:09.41 -29:53:36.9 2451767.256 26.467 0.524 13.897 None
OGLE-2000-BUL-42 18:01:52.14 -28:32:36.5 2451749.183 41.472 0.815 13.540 None
OGLE-2000-BUL-43 18:08:43.04 -32:24:39.5 2451898.843 173.61 0.0 13.752 None
OGLE-2000-BUL-44 18:08:18.42 -27:07:16.2 2451745.711 35.096 0.675 17.968 None
OGLE-2000-BUL-45 18:08:46.39 -32:03:00.8 2451771.488 67.315 0.199 19.199 None
OGLE-2000-BUL-46 17:54:55.36 -29:24:59.8 2451750.626 None None 17.951 None
OGLE-2000-BUL-47 17:54:42.92 -29:44:12.1 2451751.267 7.888 0.827 16.329 None
OGLE-2000-BUL-48 18:01:44.80 -28:58:03.5 2451775.713 18.853 0.337 15.764 None
OGLE-2000-BUL-49 17:59:17.80 -29:02:51.4 2451751.456 14.799 0.652 17.770 None
OGLE-2000-BUL-50 18:05:28.41 -29:00:46.2 2451774.396 20.728 0.746 15.827 None
OGLE-2000-BUL-51 17:53:41.85 -30:15:22.3 2451762.731 18.823 0.661 17.479 None
OGLE-2000-BUL-52 17:55:26.64 -29:37:55.9 2451752.887 2.742 0.336 17.690 None
OGLE-2000-BUL-53 17:47:01.60 -36:47:58.5 2451759.248 14.190 0.541 19.080 None
OGLE-2000-BUL-54 17:52:19.27 -32:57:04.8 2451767.330 25.852 0.284 18.451 None
OGLE-2000-BUL-55 18:01:06.71 -28:52:22.6 2451783.789 29.468 0.036 18.416 None
OGLE-2000-BUL-56 18:04:12.66 -28:01:08.4 2451785.606 16.378 0.322 18.136 None
OGLE-2000-BUL-57 17:51:27.25 -33:06:58.4 2451775.601 5.598 0.152 18.881 None
OGLE-2000-BUL-58 17:35:28.91 -27:34:08.7 2451775.378 2.540 0.515 16.683 None
OGLE-2000-BUL-59 17:59:54.38 -28:25:47.2 2451779.728 14.346 0.091 19.429 None
OGLE-2000-BUL-60 17:56:59.20 -31:03:22.3 2451832.700 39.467 0.638 16.395 None
OGLE-2000-BUL-61 18:05:29.67 -28:51:03.3 2451858.909 71.212 0.774 15.938 None
OGLE-2000-BUL-62 18:01:26.82 -28:52:34.9 2451799.727 21.142 0.771 15.554 None
OGLE-2000-BUL-63 17:51:53.89 -32:59:10.8 2451808.323 17.738 0.644 17.263 None
OGLE-2000-BUL-64 18:03:54.71 -28:34:58.8 2451795.910 14.750 0.146 17.502 None
OGLE-2000-BUL-65 17:55:44.55 -30:05:19.6 2451838.711 33.877 0.669 15.212 None
OGLE-2000-BUL-66 17:54:30.06 -29:57:59.2 2451806.649 28.139 0.719 17.391 None
OGLE-2000-BUL-67 17:55:10.06 -30:10:29.5 2451808.289 10.560 0.717 16.342 None
OGLE-2000-BUL-68 17:58:43.03 -28:50:17.2 2451811.147 3.617 0.351 18.195 None
OGLE-2000-BUL-69 17:47:05.90 -23:09:57.2 2451820.862 16.474 0.841 16.201 None
OGLE-2000-BUL-70 17:53:36.61 -32:59:28.9 2451814.533 16.591 0.426 19.104 None
OGLE-2000-BUL-71 18:08:09.30 -26:49:12.5 2451844.562 63.811 0.751 16.075 None
OGLE-2000-BUL-72 17:51:25.94 -33:09:29.2 2451826.736 15.830 0.556 17.523 None
OGLE-2000-BUL-73 17:53:04.21 -29:43:35.2 2451830.083 13.025 0.243 18.330 None
OGLE-2000-BUL-74 18:02:53.30 -28:23:18.3 2451836.080 47.726 0.022 19.026 None
OGLE-2000-BUL-75 17:57:57.16 -31:16:43.2 2451862.095 47.318 0.288 18.176 None
OGLE-2002-BLG-001 17:51:16.16 -30:12:31.4 2452380.620 64.77 0.376 15.702 16.638
OGLE-2002-BLG-002 17:50:45.43 -30:04:13.9 2452283.283 49.10 0.328 17.692 17.692
OGLE-2002-BLG-003 17:54:25.85 -29:54:27.5 2452437.894 74.89 0.728 18.812 18.812
OGLE-2002-BLG-004 17:53:55.77 -29:53:32.0 2452294.690 102.4 0.411 15.990 17.424
OGLE-2002-BLG-005 17:57:10.20 -29:43:41.8 2452354.766 30.08 0.791 18.576 18.576
OGLE-2002-BLG-006 17:56:29.86 -29:26:27.5 2452389.973 51.62 0.634 18.542 18.542
OGLE-2002-BLG-007 17:55:06.22 -29:24:13.0 2452344.618 14.44 0.614 16.878 16.878
OGLE-2002-BLG-008 17:55:21.59 -30:06:58.6 2452400.370 53.18 0.224 14.911 16.745
OGLE-2002-BLG-009 18:00:05.71 -29:17:10.4 2452382.874 20.10 0.776 17.513 17.513
OGLE-2002-BLG-010 17:49:10.73 -35:20:54.6 2452338.405 30.49 0.490 18.817 18.817
OGLE-2002-BLG-011 17:55:30.87 -35:25:09.1 2452403.260 34.56 0.579 18.193 18.193
OGLE-2002-BLG-012 17:47:33.40 -34:57:35.0 2452345.448 17.40 0.516 18.774 18.774
OGLE-2002-BLG-013 17:47:00.45 -34:43:50.1 2452346.462 135.7 0.127 18.573 19.741
OGLE-2002-BLG-014 17:45:47.15 -34:49:16.3 2452344.711 23.09 0.143 18.518 18.518
OGLE-2002-BLG-015 17:44:19.21 -34:11:12.5 2452382.752 10.20 0.269 18.705 18.705
OGLE-2002-BLG-016 17:45:13.34 -34:26:01.4 2452343.333 22.95 0.092 16.239 16.239
OGLE-2002-BLG-017 17:58:08.62 -34:18:21.7 2452385.678 14.97 0.435 19.123 19.123
OGLE-2002-BLG-018 18:01:08.82 -33:59:24.1 2452572.497 26.12 0.523 18.043 18.043
