Name RA Dec t0[HJD] tE[days] u0 Ibase Ibase_err
Gaia23bad 19:21:11.0592 +08:31:53.076 None None None 15.11 None
Gaia23azj 18:45:37.7256 +08:34:43.32 None None None 16.38 None
Gaia23azg 19:00:45.1272 +13:09:49.788 None None None 19.53 None
Gaia23ayq 21:02:27.072 +33:32:21.588 None None None 16.32 None
Gaia23awr 20:26:47.1096 +38:29:47.256 None None None 14.52 None
Gaia23avv 08:40:40.992 -44:45:55.656 None None None 14.46 None
Gaia23ats 10:09:48.72 -53:25:02.496 None None None 15.37 None
Gaia23ati 10:05:15.8496 -56:26:25.188 None None None 16.33 None
Gaia23arw 23:26:48.5856 +62:18:00.324 None None None 16.19 None
Gaia23aqq 13:48:38.892 -59:46:17.256 None None None 16.69 None
Gaia23aoq 16:18:47.556 -53:04:10.812 None None None 17.59 None
Gaia23any 16:57:13.1952 -48:40:39.468 None None None 16.01 None
Gaia23anb 16:53:39.0744 -41:47:48.12 None None None 9.72 None
Gaia23amu 16:55:27.1344 -39:29:16.368 None None None 9.94 None
Gaia23amf 16:59:45.4104 -31:19:03.648 None None None 18.39 None
Gaia23akk 17:17:49.3656 -39:07:00.768 None None None 18.10 None
Gaia23ajd 16:37:51.3456 -50:54:04.068 None None None 15.72 None
Gaia23ajc 16:27:07.4424 -51:25:22.62 None None None 11.15 None
Gaia23ajb 16:44:40.9944 -45:57:13.284 None None None 17.95 None
Gaia23aiy 16:05:07.332 -56:26:12.264 None None None 20.07 None
Gaia23aik 15:15:54.9312 -57:41:37.392 None None None 18.29 None
Gaia23ahn 20:03:18.0504 +55:20:50.136 None None None 14.43 None
Gaia23aha 12:57:32.124 -56:05:38.364 None None None 19.46 None
Gaia23afn 08:00:01.2048 -35:22:10.848 None None None 16.23 None
Gaia23afc 07:55:39.0096 -35:36:14.976 None None None 17.66 None
Gaia23ado 07:27:23.5488 -23:56:30.372 None None None 9.23 None
Gaia23acg 20:03:13.5096 +22:55:43.788 None None None 16.36 None
Gaia22epf 18:19:05.7984 -28:10:37.236 None None None 19.55 None
Gaia22epe 18:13:36.2352 -29:36:24.768 None None None 19.30 None
Gaia22eny 18:25:51.096 -39:32:02.544 None None None 17.94 None
Gaia22enx 17:34:11.916 -26:52:20.208 None None None 19.42 None
Gaia22enw 17:38:50.3088 -22:09:15.84 None None None 16.81 None
Gaia22env 17:58:04.8648 -35:39:45.396 None None None 15.95 None
Gaia22enp 17:41:36.3816 -23:21:35.244 None None None 15.61 None
Gaia22emq 17:28:21.1968 -28:49:31.62 None None None 16.34 None
Gaia22emk 17:13:59.028 -31:52:31.188 None None None 18.29 None
Gaia22emj 17:11:10.6368 -32:25:07.032 None None None 15.55 None
Gaia22ekq 16:25:18.8616 -58:32:58.092 None None None 19.41 None
Gaia22eki 16:14:35.6928 -54:55:17.652 None None None 15.33 None
Gaia22ejv 16:12:45.1488 -64:43:20.964 None None None 18.17 None
Gaia22eia 09:17:02.4408 -54:08:59.064 None None None 14.55 None
Gaia22ehz 23:20:41.1864 +58:45:16.668 None None None 16.36 None
Gaia22ehg 07:20:04.6152 -31:42:27.576 None None None 9.47 None
Gaia22egq 22:11:56.9232 +49:43:53.292 None None None 16.18 None
Gaia22egk 17:43:26.52 -08:31:32.808 None None None 18.35 None
Gaia22egg 16:59:28.8576 -24:47:22.668 None None None 17.22 None
Gaia22egc 06:26:38.4408 -03:18:01.656 None None None 15.04 None
Gaia22efm 18:10:22.6392 -20:56:07.476 None None None 16.27 None
Gaia22efl 18:31:08.9424 -12:55:53.112 None None None 18.32 None
Gaia22eff 19:06:51.4008 +03:18:51.66 None None None 18.16 None
Gaia22efc 17:35:16.3992 -23:17:33.432 None None None 17.42 None
Gaia22eeu 18:00:37.0752 -17:38:22.056 None None None 10.73 None
Gaia22eeo 17:39:14.976 -27:22:23.088 None None None 18.27 None
Gaia22eec 18:05:44.2176 -24:44:05.964 None None None 17.10 None
Gaia22edx 17:59:57.144 -28:53:38.76 None None None 16.22 None
Gaia22edf 18:26:41.6376 -33:37:36.768 None None None 14.95 None
Gaia22ecz 04:08:02.2824 +49:41:57.336 None None None 14.74 None
Gaia22ecy 17:20:41.1528 -43:18:07.272 None None None 16.39 None
Gaia22ecl 13:39:29.1864 -57:21:50.22 None None None 17.20 None
Gaia22eck 16:31:49.5432 -52:48:02.448 None None None 16.49 None
Gaia22eca 15:03:14.796 -62:01:29.496 None None None 15.89 None
Gaia22ebk 11:56:48.3984 -59:44:31.884 None None None 15.63 None
Gaia22ebh 11:25:42.408 -60:31:19.056 None None None 19.14 None
Gaia22eaz 12:21:26.4888 -64:27:55.656 None None None 16.07 None
Gaia22dzw 09:42:40.4016 -65:55:34.32 None None None 16.41 None
Gaia22dze 20:21:42.876 +30:29:20.616 None None None 17.30 None
Gaia22dza 20:19:45.6768 +38:41:41.496 None None None 17.51 None
Gaia22dym 19:44:54.3864 +35:14:40.308 None None None 17.27 None
Gaia22dva 06:09:16.98 +02:07:26.724 None None None 15.57 None
Gaia22duz 18:42:50.1072 -10:39:29.088 None None None 16.26 None
Gaia22duy 18:41:09.2496 -10:23:47.04 None None None 17.15 None
Gaia22dtn 18:44:37.3632 -25:42:48.996 None None None 15.80 None
Gaia22dtf 17:37:24.1464 -18:30:08.604 None None None 19.34 None
Gaia22dtb 17:33:51.78 -14:40:45.516 None None None 16.11 None
Gaia22dsz 18:14:23.7072 -32:10:04.08 None None None 16.32 None
Gaia22dsy 17:51:10.5168 -24:15:34.56 None None None 19.58 None
Gaia22dst 18:10:06.0264 -27:30:12.06 None None None 16.31 None
Gaia22dsr 17:53:50.9232 -31:11:32.964 None None None 19.58 None
Gaia22dsm 17:55:04.5144 -29:19:51.636 None None None 16.48 None
Gaia22dsl 17:59:59.1456 -32:34:23.484 None None None 17.54 None
Gaia22dsf 17:20:04.7736 -25:58:10.632 None None None 19.41 None
Gaia22dsb 17:40:23.196 -31:16:51.096 None None None 18.11 None
Gaia22dsa 17:34:14.3712 -28:17:59.424 None None None 18.99 None
Gaia22drz 17:27:50.9616 -29:32:33.864 None None None 17.65 None
Gaia22dry 17:42:33.4992 -33:16:11.748 None None None 19.57 None
Gaia22drx 17:44:44.5992 -33:35:46.032 None None None 17.87 None
Gaia22drj 17:11:39.504 -32:03:54.036 None None None 18.60 None
Gaia22drh 17:16:15.144 -29:58:15.996 None None None 20.21 None
Gaia22dql 17:29:05.7768 -41:32:03.624 None None None 11.16 None
Gaia22dqj 17:04:40.2048 -45:06:44.748 None None None 19.83 None
Gaia22dpc 16:50:08.0904 -51:06:22.536 None None None 16.46 None
Gaia22dla 11:03:52.9464 -65:39:58.644 None None None 16.42 None
Gaia22dkz 11:16:40.5504 -62:02:24.864 None None None 16.02 None
