20:45:56.25,+38:40:55.87483256
20:40:18.75,-02:23:16.85566777
20:45:56.25,-02:23:16.85566777
08:11:11.18644068,-45:47:02.28178239
08:17:17.28813559,-45:47:02.28178239
08:35:35.59322034,-45:47:02.28178239
08:47:47.79661017,-45:47:02.28178239
08:53:53.89830508,-45:47:02.28178239
06:28:07.5,-02:59:07.82162069
11:38:38.6440678,-45:47:02.28178239
07:01:52.5,-02:59:07.82162069
07:46:52.5,-22:40:10.5955383
08:48:45,-22:40:10.5955383
14:23:23.38983051,-45:47:02.28178239
14:29:29.49152542,-45:47:02.28178239
18:22:30,-32:05:23.82452261
15:36:36.61016949,-45:47:02.28178239
16:13:13.22033898,-45:47:02.28178239
16:25:25.42372881,-45:47:02.28178239
16:31:31.52542373,-45:47:02.28178239
16:37:37.62711864,-45:47:02.28178239
16:43:43.72881356,-45:47:02.28178239
16:49:49.83050847,-45:47:02.28178239
17:02:02.03389831,-45:47:02.28178239
17:08:08.13559322,-45:47:02.28178239
17:44:44.74576271,-45:47:02.28178239
17:50:50.84745763,-45:47:02.28178239
18:09:09.15254237,-45:47:02.28178239
17:20:37.5,-22:40:10.5955383
17:26:15,-22:40:10.5955383
17:31:52.5,-22:40:10.5955383
17:37:30,-22:40:10.5955383
17:43:07.5,-22:40:10.5955383
17:48:45,-22:40:10.5955383
17:54:22.5,-22:40:10.5955383
18:00:00,-22:40:10.5955383
18:05:37.5,-22:40:10.5955383
18:11:15,-22:40:10.5955383
18:16:52.5,-22:40:10.5955383
18:22:30,-22:40:10.5955383
18:28:07.5,-22:40:10.5955383
18:33:45,-22:40:10.5955383
18:50:37.5,-02:59:07.82162069
19:01:52.5,-02:59:07.82162069
19:07:30,-02:59:07.82162069
19:41:15,+37:55:17.94282345
19:46:52.5,+37:55:17.94282345
20:20:37.5,+37:55:17.94282345
20:26:15,+37:55:17.94282345
20:43:07.5,+37:55:17.94282345
20:48:45,+37:55:17.94282345
20:43:07.5,-02:59:07.82162069
08:13:26.89655172,-46:34:18.65068842
08:19:39.31034483,-46:34:18.65068842
08:32:04.13793103,-46:34:18.65068842
08:38:16.55172414,-46:34:18.65068842
08:44:28.96551724,-46:34:18.65068842
08:50:41.37931034,-46:34:18.65068842
08:56:53.79310345,-46:34:18.65068842
04:15:56.25,+15:42:49.89977283
11:38:16.55172414,-46:34:18.65068842
11:44:28.96551724,-46:34:18.65068842
06:14:03.75,+37:10:08.0387616
06:25:18.75,-03:34:59.9581145
06:53:26.25,-23:19:04.6454352
07:27:11.25,-23:19:04.6454352
07:44:03.75,-23:19:04.6454352
18:45:00,-07:46:57.77178741
18:50:37.5,-07:46:57.77178741
08:45:56.25,-23:19:04.6454352
16:23:47.5862069,-46:34:18.65068842
16:30:00,-46:34:18.65068842
16:36:12.4137931,-46:34:18.65068842
16:42:24.82758621,-46:34:18.65068842
16:48:37.24137931,-46:34:18.65068842
17:07:14.48275862,-46:34:18.65068842
17:44:28.96551724,-46:34:18.65068842
17:50:41.37931034,-46:34:18.65068842
06:50:37.5,-23:58:10.13634393
06:56:15,-23:58:10.13634393
16:44:03.75,-23:19:04.6454352
17:17:48.75,-23:19:04.6454352
17:23:26.25,-23:19:04.6454352
17:29:03.75,-23:19:04.6454352
17:34:41.25,-23:19:04.6454352
17:40:18.75,-23:19:04.6454352
17:45:56.25,-23:19:04.6454352
17:51:33.75,-23:19:04.6454352
17:57:11.25,-23:19:04.6454352
18:02:48.75,-23:19:04.6454352
18:08:26.25,-23:19:04.6454352
18:14:03.75,-23:19:04.6454352
18:19:41.25,-23:19:04.6454352
18:25:18.75,-23:19:04.6454352
18:30:56.25,-23:19:04.6454352
18:36:33.75,-23:19:04.6454352
18:36:33.75,-03:34:59.9581145
18:47:48.75,-03:34:59.9581145
19:04:41.25,-03:34:59.9581145
19:10:18.75,+15:42:49.89977283
20:12:11.25,+37:10:08.0387616
20:17:48.75,+37:10:08.0387616
20:23:26.25,+37:10:08.0387616
20:40:18.75,-03:34:59.9581145
20:45:56.25,-03:34:59.9581145
21:59:03.75,+37:10:08.0387616
22:04:41.25,+37:10:08.0387616
08:15:47.36842105,-47:21:27.27443952
08:22:06.31578947,-47:21:27.27443952
08:41:03.15789474,-47:21:27.27443952
08:47:22.10526316,-47:21:27.27443952
08:53:41.05263158,-47:21:27.27443952
